Date et heure,Temps écoulé (s),Energie (eV),Polarisation,Intensité brute
2025-05-05 11:59:16,0.41,0.00,+,-2.702280E-10
2025-05-05 11:59:16,0.80,0.00,+,-5.134886E-10
2025-05-05 11:59:16,1.20,0.00,+,-5.145027E-10
2025-05-05 11:59:17,1.59,0.00,+,-4.552802E-10
2025-05-05 11:59:17,1.98,0.00,+,-2.802677E-10
2025-05-05 11:59:17,2.35,0.00,+,-4.665360E-10
2025-05-05 11:59:18,2.73,0.00,+,-3.295415E-10
2025-05-05 11:59:18,3.12,0.00,+,-5.188676E-10
2025-05-05 11:59:24,0.20,20.00,+,-2.770187E-10
2025-05-05 11:59:24,0.60,20.00,+,-3.381611E-10
2025-05-05 11:59:24,1.00,20.00,+,-3.741566E-10
2025-05-05 11:59:25,1.40,20.00,+,-3.686812E-10
2025-05-05 11:59:25,1.80,20.00,+,-3.809503E-10
2025-05-05 11:59:26,2.20,20.00,+,-4.400683E-10
2025-05-05 11:59:26,2.60,20.00,+,-4.624802E-10
2025-05-05 11:59:26,3.00,20.00,+,-4.704909E-10
2025-05-05 11:59:32,0.20,40.00,+,-4.569027E-10
2025-05-05 11:59:32,0.60,40.00,+,-4.607558E-10
2025-05-05 11:59:33,0.98,40.00,+,-3.847015E-10
2025-05-05 11:59:33,1.38,40.00,+,-2.656604E-10
2025-05-05 11:59:33,1.76,40.00,+,-4.563965E-10
2025-05-05 11:59:34,2.16,40.00,+,-2.666792E-10
2025-05-05 11:59:34,2.54,40.00,+,-4.741421E-10
2025-05-05 11:59:35,2.92,40.00,+,-3.735477E-10
2025-05-05 11:59:40,0.20,60.00,+,-3.766915E-10
2025-05-05 11:59:40,0.60,60.00,+,-5.080173E-10
2025-05-05 11:59:41,0.98,60.00,+,-5.259627E-10
2025-05-05 11:59:41,1.39,60.00,+,-5.201797E-10
2025-05-05 11:59:42,1.77,60.00,+,-4.557876E-10
2025-05-05 11:59:42,2.17,60.00,+,-3.973761E-10
2025-05-05 11:59:42,2.56,60.00,+,-3.206209E-10
2025-05-05 11:59:43,2.96,60.00,+,-3.862226E-10
2025-05-05 11:59:48,0.19,80.00,+,-4.808357E-10
2025-05-05 11:59:49,0.57,80.00,+,-2.610995E-10
2025-05-05 11:59:49,0.96,80.00,+,-2.698178E-10
2025-05-05 11:59:49,1.36,80.00,+,-5.325514E-10
2025-05-05 11:59:50,1.75,80.00,+,-4.560919E-10
2025-05-05 11:59:50,2.14,80.00,+,-5.159275E-10
2025-05-05 11:59:51,2.54,80.00,+,-3.891628E-10
2025-05-05 11:59:51,2.92,80.00,+,-5.298124E-10
2025-05-05 11:59:56,0.19,100.00,+,-2.728661E-10
2025-05-05 11:59:57,0.58,100.00,+,-4.356072E-10
2025-05-05 11:59:57,0.97,100.00,+,-2.765162E-10
2025-05-05 11:59:57,1.37,100.00,+,-4.926999E-10
2025-05-05 11:59:58,1.76,100.00,+,-4.640013E-10
2025-05-05 11:59:58,2.14,100.00,+,-2.640381E-10
2025-05-05 11:59:59,2.54,100.00,+,-4.110662E-10
2025-05-05 11:59:59,2.92,100.00,+,-2.833103E-10
